AgeGroup,Gender,Education,EmploymentStatus,TelecomCompany,ReasonForChoosing,DurationWithCompany,PlanType,MonthlyCharges,Churn,ChurnReason_NetworkCoverage,ChurnReason_CustomerService,ChurnReason_Pricing,ChurnLikelihood,MonthlyCharges_Numeric,Gender_NuUmeric,AgeGroup_Numeric
18-24,Female,Prefer not to say,Self-employed,MTN,Prefer not to say,1-2 years,Postpaid,GHS 51-100,No,TRUE,TRUE,FALSE,1,3,2,1
55-64,Prefer not to say,No Education,Unemployed,AirtelTigo,Prefer not to say,Less than 6 months,Prepaid,GHS 301-400,Yes,TRUE,TRUE,FALSE,4, ,4,5
25-34,Prefer not to say,No Education,Student,MTN,Pricing,3-4 years,Prepaid,GHS 201-300,No,FALSE,TRUE,TRUE,3,5,4,2
25-34,Transgender,Postgraduate,Self-employed,MTN,Pricing,3-4 years,Postpaid,More than GHS 400,Yes,TRUE,TRUE,FALSE,5,7,3,2
18-24,Prefer not to say,High school graduate,Employed full-time,Glo,Customer Service,6-12 months,Both,GHS 301-400,Yes,TRUE,FALSE,TRUE,2, ,4,1
18-24,Transgender,Undergraduate,Self-employed,Glo,Customer Service,5 or more years,Postpaid,More than GHS 400,No,TRUE,TRUE,FALSE,4,7,3,1
35-44,Prefer not to say,Postgraduate,Employed full-time,MTN,Coverage,3-4 years,Both,More than GHS 400,No,FALSE,FALSE,FALSE,5,7,4,3
35-44,Female,High school graduate,Self-employed,Glo,Prefer not to say,1-2 years,Prepaid,GHS 101-200,No,TRUE,FALSE,FALSE,3,4,2,3
18-24,Female,Postgraduate,Employed full-time,AirtelTigo,Prefer not to say,3-4 years,Both,GHS 101-200,Yes,TRUE,FALSE,TRUE,4,4,2,1
25-34,Prefer not to say,High school graduate,Student,Glo,Prefer not to say,Less than 6 months,Both,GHS 101-200,Yes,FALSE,TRUE,TRUE,4,4,4,2
18-24,Transgender,Primary School,Employed full-time,Glo,Coverage,5 or more years,Both,More than GHS 200,Yes,FALSE,FALSE,FALSE,4,6,3,1
35-44,Prefer not to say,No Education,Unemployed,MTN,Customer Service,1-2 years,Postpaid,GHS 101-200,Yes,FALSE,TRUE,TRUE,3,4,4,3
35-44,Female,Postgraduate,Employed part-time,Vodafone,Prefer not to say,1-2 years,Both,More than GHS 400,Yes,FALSE,TRUE,TRUE,2,7,2,3
35-44,Male,High school graduate,Student,MTN,Pricing,1-2 years,Both,More than GHS 400,No,TRUE,TRUE,TRUE,4,7,1,3
35-44,Prefer not to say,High school graduate,Student,MTN,Prefer not to say,3-4 years,Both,GHS 301-400,Yes,TRUE,TRUE,TRUE,3, ,4,3
55-64,Transgender,No Education,Self-employed,MTN,Prefer not to say,1-2 years,Both,GHS 301-400,No,TRUE,FALSE,TRUE,1, ,3,5
45-54,Female,Prefer not to say,Self-employed,MTN,Customer Service,Less than 6 months,Prepaid,More than GHS 400,No,TRUE,FALSE,TRUE,2,7,2,4
55-64,Male,Prefer not to say,Self-employed,Glo,Customer Service,3-4 years,Both,More than GHS 400,No,FALSE,FALSE,TRUE,2,7,1,5
18-24,Female,Undergraduate,Employed part-time,Vodafone,Customer Service,3-4 years,Prepaid,GHS 201-300,No,TRUE,FALSE,FALSE,1,5,2,1
45-54,Transgender,Undergraduate,Self-employed,Vodafone,Customer Service,1-2 years,Postpaid,GHS 101-200,No,TRUE,FALSE,TRUE,4,4,3,4
25-34,Transgender,Postgraduate,Self-employed,MTN,Pricing,3-4 years,Postpaid,More than GHS 400,Yes,TRUE,TRUE,FALSE,5,7,3,2
18-24,Female,Primary School,Employed part-time,MTN,Pricing,3-4 years,Both,More than GHS 400,No,FALSE,FALSE,TRUE,1,7,2,1
25-34,Female,Postgraduate,Student,Vodafone,Pricing,1-2 years,Prepaid,GHS 20-50,Yes,FALSE,FALSE,FALSE,4,2,2,2
18-24,Transgender,Primary School,Self-employed,MTN,Coverage,1-2 years,Both,GHS 201-300,No,TRUE,TRUE,FALSE,5,5,3,1
45-54,Male,High school graduate,Retired,MTN,Prefer not to say,3-4 years,Both,Less than GHS 20,Yes,FALSE,TRUE,FALSE,3,1,1,4
45-54,Female,High school graduate,Employed part-time,Glo,Pricing,Less than 6 months,Postpaid,GHS 20-50,No,FALSE,TRUE,TRUE,5,2,2,4
25-34,Male,No Education,Retired,Glo,Pricing,6-12 months,Prepaid,Less than GHS 20,Yes,FALSE,FALSE,TRUE,1,1,1,2
18-24,Male,Primary School,Unemployed,Vodafone,Coverage,6-12 months,Postpaid,GHS 101-200,No,TRUE,FALSE,FALSE,3,4,1,1
45-54,Male,No Education,Student,AirtelTigo,Coverage,1-2 years,Postpaid,GHS 101-200,No,TRUE,TRUE,TRUE,2,4,1,4
55-64,Male,Postgraduate,Retired,MTN,Pricing,1-2 years,Both,GHS 20-50,Yes,FALSE,TRUE,FALSE,1,2,1,5
25-34,Male,Prefer not to say,Employed part-time,Vodafone,Prefer not to say,Less than 6 months,Both,Less than GHS 20,No,FALSE,FALSE,TRUE,5,1,1,2
18-24,Transgender,High school graduate,Self-employed,AirtelTigo,Pricing,6-12 months,Prepaid,GHS 201-300,No,FALSE,FALSE,TRUE,3,5,3,1
25-34,Male,Undergraduate,Self-employed,MTN,Customer Service,Less than 6 months,Postpaid,GHS 101-200,Yes,FALSE,FALSE,FALSE,2,4,1,2
18-24,Transgender,High school graduate,Student,AirtelTigo,Prefer not to say,Less than 6 months,Postpaid,GHS 301-400,No,FALSE,TRUE,TRUE,1, ,3,1
18-24,Male,Primary School,Retired,Vodafone,Prefer not to say,6-12 months,Postpaid,Less than GHS 20,No,FALSE,TRUE,FALSE,3,1,1,1
25-34,Prefer not to say,Undergraduate,Retired,MTN,Customer Service,6-12 months,Postpaid,More than GHS 400,No,FALSE,TRUE,FALSE,3,7,4,2
25-34,Prefer not to say,No Education,Employed full-time,MTN,Customer Service,Less than 6 months,Both,Less than GHS 20,Yes,FALSE,TRUE,FALSE,1,1,4,2
35-44,Transgender,Postgraduate,Employed full-time,MTN,Pricing,3-4 years,Postpaid,GHS 51-100,No,TRUE,FALSE,FALSE,2,3,3,3
25-34,Male,High school graduate,Unemployed,MTN,Pricing,5 or more years,Prepaid,GHS 101-200,Yes,TRUE,TRUE,TRUE,4,4,1,2
25-34,Male,Undergraduate,Retired,AirtelTigo,Prefer not to say,Less than 6 months,Prepaid,GHS 201-300,Yes,FALSE,TRUE,FALSE,5,5,1,2
45-54,Prefer not to say,Primary School,Student,AirtelTigo,Coverage,6-12 months,Postpaid,Less than GHS 20,No,TRUE,FALSE,TRUE,4,1,4,4
18-24,Female,High school graduate,Student,AirtelTigo,Pricing,1-2 years,Postpaid,Less than GHS 20,Yes,TRUE,TRUE,TRUE,4,1,2,1
18-24,Transgender,Prefer not to say,Retired,MTN,Customer Service,6-12 months,Both,GHS 101-200,No,TRUE,FALSE,TRUE,3,4,3,1
55-64,Male,No Education,Employed full-time,Vodafone,Customer Service,6-12 months,Prepaid,GHS 301-400,Yes,TRUE,FALSE,TRUE,2, ,1,5
45-54,Male,No Education,Unemployed,Vodafone,Customer Service,Less than 6 months,Both,GHS 301-400,No,FALSE,FALSE,FALSE,5, ,1,4
25-34,Male,Prefer not to say,Employed full-time,MTN,Pricing,1-2 years,Postpaid,GHS 101-200,No,TRUE,TRUE,TRUE,5,4,1,2
18-24,Transgender,Primary School,Self-employed,MTN,Prefer not to say,Less than 6 months,Prepaid,GHS 51-100,Yes,FALSE,TRUE,FALSE,1,3,3,1
55-64,Male,Undergraduate,Self-employed,Glo,Coverage,5 or more years,Both,GHS 51-100,No,TRUE,FALSE,FALSE,2,3,1,5
18-24,Transgender,Postgraduate,Self-employed,Vodafone,Customer Service,Less than 6 months,Both,GHS 301-400,Yes,FALSE,FALSE,FALSE,3, ,3,1
45-54,Transgender,High school graduate,Employed part-time,Glo,Coverage,5 or more years,Postpaid,GHS 20-50,Yes,FALSE,TRUE,FALSE,3,2,3,4
55-64,Female,Postgraduate,Student,MTN,Coverage,Less than 6 months,Postpaid,Less than GHS 20,Yes,TRUE,FALSE,TRUE,5,1,2,5
18-24,Male,High school graduate,Retired,MTN,Coverage,1-2 years,Prepaid,More than GHS 400,No,TRUE,FALSE,TRUE,3,7,1,1
25-34,Male,Prefer not to say,Unemployed,Glo,Prefer not to say,6-12 months,Prepaid,Less than GHS 20,No,TRUE,TRUE,FALSE,4,1,1,2
45-54,Female,Primary School,Student,MTN,Customer Service,5 or more years,Postpaid,GHS 101-200,No,FALSE,TRUE,FALSE,3,4,2,4
45-54,Prefer not to say,Primary School,Self-employed,AirtelTigo,Coverage,6-12 months,Prepaid,GHS 51-100,Yes,TRUE,TRUE,TRUE,4,3,4,4
45-54,Prefer not to say,Postgraduate,Unemployed,AirtelTigo,Pricing,Less than 6 months,Both,GHS 51-100,No,TRUE,TRUE,FALSE,3,3,4,4
35-44,Prefer not to say,High school graduate,Employed full-time,MTN,Customer Service,1-2 years,Postpaid,More than GHS 200,Yes,FALSE,TRUE,TRUE,5,6,4,3
25-34,Prefer not to say,Undergraduate,Retired,Glo,Prefer not to say,5 or more years,Prepaid,GHS 101-200,Yes,FALSE,FALSE,FALSE,2,4,4,2
25-34,Male,Primary School,Employed full-time,MTN,Pricing,6-12 months,Prepaid,GHS 201-300,Yes,TRUE,FALSE,TRUE,4,5,1,2
25-34,Transgender,Postgraduate,Self-employed,MTN,Pricing,3-4 years,Postpaid,More than GHS 400,Yes,TRUE,TRUE,FALSE,5,7,3,2
55-64,Transgender,Undergraduate,Employed full-time,MTN,Customer Service,6-12 months,Prepaid,More than GHS 400,No,FALSE,FALSE,FALSE,1,7,3,5
55-64,Male,Undergraduate,Student,MTN,Pricing,5 or more years,Postpaid,GHS 201-300,No,TRUE,TRUE,TRUE,5,5,1,5
18-24,Male,Primary School,Employed part-time,Glo,Prefer not to say,Less than 6 months,Prepaid,GHS 101-200,No,FALSE,TRUE,TRUE,5,4,1,1
55-64,Male,Prefer not to say,Self-employed,Glo,Prefer not to say,3-4 years,Prepaid,GHS 201-300,Yes,TRUE,FALSE,FALSE,4,5,1,5
25-34,Prefer not to say,No Education,Employed full-time,MTN,Pricing,Less than 6 months,Prepaid,More than GHS 400,No,FALSE,TRUE,TRUE,4,7,4,2
18-24,Male,Postgraduate,Student,MTN,Pricing,3-4 years,Both,GHS 20-50,Yes,FALSE,FALSE,FALSE,1,2,1,1
18-24,Transgender,Prefer not to say,Retired,MTN,Customer Service,3-4 years,Prepaid,GHS 101-200,Yes,TRUE,TRUE,TRUE,5,4,3,1
55-64,Female,Postgraduate,Unemployed,Glo,Customer Service,6-12 months,Prepaid,More than GHS 400,No,FALSE,TRUE,FALSE,4,7,2,5
25-34,Prefer not to say,Postgraduate,Retired,Glo,Customer Service,3-4 years,Postpaid,GHS 101-200,No,TRUE,FALSE,FALSE,4,4,4,2
45-54,Prefer not to say,Postgraduate,Unemployed,AirtelTigo,Pricing,Less than 6 months,Prepaid,More than GHS 400,No,TRUE,TRUE,FALSE,5,7,4,4
55-64,Prefer not to say,Postgraduate,Retired,Vodafone,Customer Service,1-2 years,Postpaid,Less than GHS 20,No,TRUE,FALSE,FALSE,1,1,4,5
18-24,Transgender,High school graduate,Retired,AirtelTigo,Pricing,5 or more years,Prepaid,GHS 301-400,No,FALSE,TRUE,TRUE,2, ,3,1
18-24,Male,Undergraduate,Employed part-time,Vodafone,Pricing,1-2 years,Both,GHS 101-200,No,FALSE,FALSE,FALSE,2,4,1,1
25-34,Prefer not to say,Prefer not to say,Employed full-time,MTN,Coverage,6-12 months,Postpaid,GHS 20-50,No,TRUE,FALSE,TRUE,1,2,4,2
18-24,Prefer not to say,Postgraduate,Unemployed,Vodafone,Coverage,3-4 years,Prepaid,Less than GHS 20,Yes,TRUE,TRUE,FALSE,3,1,4,1
45-54,Transgender,High school graduate,Employed part-time,Glo,Customer Service,6-12 months,Both,GHS 20-50,No,FALSE,TRUE,TRUE,2,2,3,4
55-64,Prefer not to say,High school graduate,Self-employed,AirtelTigo,Customer Service,5 or more years,Both,More than GHS 400,No,TRUE,TRUE,TRUE,3,7,4,5
25-34,Male,Undergraduate,Self-employed,Glo,Prefer not to say,1-2 years,Prepaid,GHS 101-200,No,FALSE,TRUE,FALSE,2,4,1,2
25-34,Male,No Education,Retired,Glo,Pricing,6-12 months,Both,More than GHS 400,Yes,FALSE,FALSE,TRUE,5,7,1,2
55-64,Female,Postgraduate,Student,MTN,Coverage,6-12 months,Postpaid,More than GHS 200,No,TRUE,TRUE,FALSE,2,6,2,5
45-54,Female,Undergraduate,Employed part-time,MTN,Pricing,3-4 years,Prepaid,More than GHS 400,Yes,FALSE,FALSE,FALSE,1,7,2,4
45-54,Male,Postgraduate,Retired,AirtelTigo,Pricing,5 or more years,Both,More than GHS 200,No,TRUE,FALSE,FALSE,2,6,1,4
55-64,Prefer not to say,Undergraduate,Self-employed,MTN,Prefer not to say,1-2 years,Prepaid,GHS 101-200,No,FALSE,TRUE,TRUE,4,4,4,5
25-34,Female,Undergraduate,Retired,Glo,Pricing,3-4 years,Both,GHS 201-300,Yes,FALSE,TRUE,FALSE,5,5,2,2
55-64,Female,Prefer not to say,Self-employed,AirtelTigo,Customer Service,3-4 years,Prepaid,More than GHS 400,Yes,TRUE,FALSE,FALSE,1,7,2,5
25-34,Transgender,No Education,Employed full-time,AirtelTigo,Customer Service,Less than 6 months,Postpaid,Less than GHS 20,Yes,FALSE,FALSE,TRUE,3,1,3,2
35-44,Male,Undergraduate,Retired,MTN,Prefer not to say,6-12 months,Postpaid,More than GHS 400,No,FALSE,TRUE,FALSE,1,7,1,3
35-44,Prefer not to say,High school graduate,Student,MTN,Prefer not to say,3-4 years,Prepaid,GHS 51-100,Yes,TRUE,TRUE,TRUE,4,3,4,3
25-34,Transgender,Primary School,Unemployed,MTN,Coverage,1-2 years,Prepaid,GHS 51-100,Yes,FALSE,FALSE,TRUE,4,3,3,2
45-54,Female,High school graduate,Employed part-time,Vodafone,Prefer not to say,1-2 years,Both,GHS 201-300,No,TRUE,FALSE,TRUE,2,5,2,4
35-44,Female,Prefer not to say,Employed full-time,Glo,Prefer not to say,3-4 years,Both,More than GHS 400,No,FALSE,TRUE,TRUE,4,7,2,3
55-64,Male,High school graduate,Employed part-time,Vodafone,Customer Service,6-12 months,Postpaid,GHS 301-400,Yes,TRUE,TRUE,TRUE,5, ,1,5
55-64,Transgender,High school graduate,Retired,AirtelTigo,Customer Service,1-2 years,Both,GHS 101-200,No,TRUE,TRUE,TRUE,2,4,3,5
55-64,Male,Primary School,Employed full-time,AirtelTigo,Pricing,6-12 months,Postpaid,GHS 101-200,Yes,FALSE,FALSE,FALSE,5,4,1,5
45-54,Female,Primary School,Self-employed,MTN,Pricing,3-4 years,Prepaid,GHS 201-300,Yes,TRUE,FALSE,TRUE,5,5,2,4
25-34,Male,Prefer not to say,Unemployed,Glo,Coverage,1-2 years,Postpaid,GHS 101-200,Yes,TRUE,TRUE,FALSE,2,4,1,2
45-54,Transgender,Primary School,Employed full-time,Vodafone,Pricing,6-12 months,Postpaid,GHS 101-200,Yes,FALSE,TRUE,TRUE,5,4,3,4
55-64,Transgender,No Education,Employed part-time,AirtelTigo,Coverage,5 or more years,Both,Less than GHS 20,No,TRUE,FALSE,TRUE,4,1,3,5
18-24,Prefer not to say,Prefer not to say,Student,Glo,Customer Service,5 or more years,Prepaid,More than GHS 400,Yes,FALSE,FALSE,FALSE,3,7,4,1
18-24,Male,No Education,Unemployed,AirtelTigo,Pricing,5 or more years,Postpaid,GHS 101-200,No,FALSE,FALSE,FALSE,2,4,1,1
55-64,Male,Primary School,Employed full-time,MTN,Customer Service,5 or more years,Postpaid,GHS 301-400,No,TRUE,TRUE,FALSE,2, ,1,5
45-54,Prefer not to say,Postgraduate,Employed full-time,Glo,Coverage,3-4 years,Both,GHS 101-200,No,FALSE,TRUE,FALSE,5,4,4,4
35-44,Prefer not to say,Postgraduate,Employed part-time,MTN,Coverage,1-2 years,Prepaid,GHS 301-400,No,FALSE,FALSE,FALSE,3, ,4,3
35-44,Prefer not to say,Postgraduate,Self-employed,Glo,Coverage,6-12 months,Both,More than GHS 200,Yes,TRUE,FALSE,TRUE,5,6,4,3
35-44,Female,High school graduate,Employed full-time,AirtelTigo,Coverage,3-4 years,Both,More than GHS 200,Yes,TRUE,FALSE,TRUE,4,6,2,3
25-34,Prefer not to say,Primary School,Student,MTN,Customer Service,3-4 years,Both,More than GHS 400,No,FALSE,TRUE,TRUE,2,7,4,2
45-54,Prefer not to say,Primary School,Retired,AirtelTigo,Prefer not to say,5 or more years,Postpaid,More than GHS 400,No,TRUE,FALSE,FALSE,4,7,4,4
45-54,Transgender,No Education,Retired,AirtelTigo,Coverage,5 or more years,Both,Less than GHS 20,No,FALSE,FALSE,FALSE,3,1,3,4
25-34,Transgender,Postgraduate,Self-employed,Vodafone,Coverage,6-12 months,Postpaid,GHS 201-300,Yes,FALSE,TRUE,FALSE,1,5,3,2
55-64,Female,Postgraduate,Student,MTN,Prefer not to say,6-12 months,Both,GHS 101-200,No,TRUE,TRUE,TRUE,2,4,2,5
18-24,Male,Prefer not to say,Student,AirtelTigo,Coverage,Less than 6 months,Postpaid,More than GHS 400,No,TRUE,FALSE,TRUE,2,7,1,1
25-34,Male,No Education,Retired,Glo,Pricing,6-12 months,Both,GHS 301-400,Yes,FALSE,FALSE,TRUE,5, ,1,2
45-54,Male,Primary School,Self-employed,Glo,Customer Service,5 or more years,Both,More than GHS 400,No,FALSE,FALSE,FALSE,5,7,1,4
25-34,Male,Postgraduate,Self-employed,AirtelTigo,Coverage,3-4 years,Postpaid,GHS 201-300,No,TRUE,TRUE,TRUE,3,5,1,2
25-34,Male,Prefer not to say,Unemployed,Glo,Coverage,1-2 years,Postpaid,More than GHS 400,Yes,TRUE,TRUE,FALSE,5,7,1,2
25-34,Transgender,Postgraduate,Self-employed,MTN,Pricing,3-4 years,Postpaid,More than GHS 400,Yes,TRUE,TRUE,FALSE,5,7,3,2
25-34,Transgender,Postgraduate,Self-employed,MTN,Pricing,3-4 years,Postpaid,More than GHS 400,Yes,TRUE,TRUE,FALSE,5,7,3,2
25-34,Female,Postgraduate,Self-employed,MTN,Coverage,3-4 years,Both,GHS 51-100,No,FALSE,TRUE,FALSE,1,3,2,2
18-24,Prefer not to say,Primary School,Self-employed,AirtelTigo,Coverage,1-2 years,Prepaid,GHS 201-300,Yes,TRUE,FALSE,TRUE,2,5,4,1
18-24,Transgender,Primary School,Self-employed,MTN,Prefer not to say,Less than 6 months,Postpaid,GHS 301-400,Yes,FALSE,TRUE,FALSE,5, ,3,1
35-44,Male,Prefer not to say,Employed part-time,MTN,Prefer not to say,3-4 years,Prepaid,GHS 301-400,No,TRUE,TRUE,TRUE,2, ,1,3
25-34,Prefer not to say,Undergraduate,Employed full-time,MTN,Prefer not to say,5 or more years,Postpaid,GHS 51-100,No,FALSE,TRUE,FALSE,2,3,4,2
45-54,Female,No Education,Employed full-time,Glo,Pricing,6-12 months,Prepaid,GHS 301-400,Yes,FALSE,TRUE,FALSE,3, ,2,4
18-24,Transgender,High school graduate,Retired,Vodafone,Coverage,1-2 years,Postpaid,GHS 201-300,Yes,TRUE,TRUE,FALSE,4,5,3,1
55-64,Transgender,Undergraduate,Self-employed,MTN,Prefer not to say,3-4 years,Prepaid,Less than GHS 20,No,TRUE,TRUE,TRUE,1,1,3,5
25-34,Transgender,Undergraduate,Retired,Glo,Customer Service,3-4 years,Postpaid,More than GHS 200,Yes,FALSE,FALSE,TRUE,1,6,3,2
25-34,Transgender,High school graduate,Employed full-time,AirtelTigo,Customer Service,Less than 6 months,Prepaid,More than GHS 400,No,TRUE,FALSE,FALSE,3,7,3,2
25-34,Transgender,Prefer not to say,Self-employed,MTN,Prefer not to say,3-4 years,Both,GHS 20-50,Yes,TRUE,TRUE,FALSE,3,2,3,2
